id;time;property1;property2;property3;property4;property5;failed;time_of_death;details;type;orgin_id;network_id;contents
50;2020-05-04 05:52:32.808909;1;TRUE;-247.044.704.470.447;FALSE;;FALSE;;"{""response_id"": 70, ""propagate_failure"": false}";suggestion_trial;69;8;"{""vector"": [-156.315631563156, 317.611761176118, 589.91899189919, -244.2993171142458, 15.1815181518152], ""active_index"": 3, ""reverse_scale"": false}"
51;2020-05-04 05:52:42.944232;1;TRUE;368.016.801.680.168;FALSE;;FALSE;;"{""response_id"": 71, ""propagate_failure"": false}";suggestion_trial;70;6;"{""vector"": [55.5055505550555, 75.6675667566757, 186.558655865587, 509.270927092709, 377.23757340961254], ""active_index"": 4, ""reverse_scale"": false}"
52;2020-05-04 05:53:00.575926;1;TRUE;448.784.878.487.849;FALSE;;FALSE;;"{""response_id"": 72, ""propagate_failure"": false}";suggestion_trial;71;8;"{""vector"": [-156.315631563156, 317.611761176118, 589.91899189919, -247.044704470447, 289.593909154118], ""active_index"": 4, ""reverse_scale"": false}"
53;2020-05-04 05:53:09.467858;1;TRUE;-196.639.663.966.397;FALSE;;FALSE;;"{""response_id"": 73, ""propagate_failure"": false}";suggestion_trial;72;6;"{""vector"": [499.6508431136144, 75.6675667566757, 186.558655865587, 509.270927092709, 368.016801680168], ""active_index"": 0, ""reverse_scale"": false}"
54;2020-05-04 05:53:17.882187;1;TRUE;-176.477.647.764.776;FALSE;;FALSE;;"{""response_id"": 74, ""propagate_failure"": false}";suggestion_trial;73;8;"{""vector"": [322.4077263031244, 317.611761176118, 589.91899189919, -247.044704470447, 448.784878487849], ""active_index"": 0, ""reverse_scale"": false}"
55;2020-05-04 05:53:29.775015;1;TRUE;206.720.672.067.207;FALSE;;FALSE;;"{""response_id"": 75, ""propagate_failure"": false}";suggestion_trial;74;6;"{""vector"": [-196.639663966397, -436.19051936564966, 186.558655865587, 509.270927092709, 368.016801680168], ""active_index"": 1, ""reverse_scale"": false}"
56;2020-05-04 05:53:44.338345;1;TRUE;136.153.615.361.536;FALSE;;FALSE;;"{""response_id"": 76, ""propagate_failure"": false}";suggestion_trial;75;8;"{""vector"": [-176.477647764776, -116.55933061040542, 589.91899189919, -247.044704470447, 448.784878487849], ""active_index"": 1, ""reverse_scale"": false}"
57;2020-05-04 05:53:54.40392;1;TRUE;186.558.655.865.587;FALSE;;FALSE;;"{""response_id"": 77, ""propagate_failure"": false}";suggestion_trial;76;6;"{""vector"": [-196.639663966397, 206.720672067207, -32.819802112038474, 509.270927092709, 368.016801680168], ""active_index"": 2, ""reverse_scale"": false}"
58;2020-05-04 05:54:07.065636;1;TRUE;-857.485.748.574.858;FALSE;;FALSE;;"{""response_id"": 78, ""propagate_failure"": false}";suggestion_trial;77;8;"{""vector"": [-176.477647764776, 136.153615361536, 365.524971303141, -247.044704470447, 448.784878487849], ""active_index"": 2, ""reverse_scale"": false}"
59;2020-05-04 07:28:37.470682;2;TRUE;"""3""";FALSE;4;FALSE;;"{""response_id"": 81, ""propagate_failure"": false}";headphone_trial;5;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_IOS.wav"", ""label"": ""IOS"", ""correct_answer"": ""3""}"
60;2020-05-04 07:28:43.941701;2;TRUE;"""1""";FALSE;8;FALSE;;"{""response_id"": 82, ""propagate_failure"": false}";headphone_trial;9;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav"", ""label"": ""SIO"", ""correct_answer"": ""1""}"
61;2020-05-04 07:28:50.355974;2;TRUE;"""2""";FALSE;2;FALSE;;"{""response_id"": 83, ""propagate_failure"": false}";headphone_trial;3;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav"", ""label"": ""ISO"", ""correct_answer"": ""2""}"
62;2020-05-04 07:28:56.068556;2;TRUE;"""2""";FALSE;10;FALSE;;"{""response_id"": 84, ""propagate_failure"": false}";headphone_trial;11;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav"", ""label"": ""OSI"", ""correct_answer"": ""2""}"
63;2020-05-04 07:29:04.051657;2;TRUE;"""1""";FALSE;6;FALSE;;"{""response_id"": 85, ""propagate_failure"": false}";headphone_trial;7;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav"", ""label"": ""SOI"", ""correct_answer"": ""1""}"
64;2020-05-04 07:29:10.522532;2;TRUE;"""3""";FALSE;12;FALSE;;"{""response_id"": 86, ""propagate_failure"": false}";headphone_trial;13;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OIS.wav"", ""label"": ""OIS"", ""correct_answer"": ""3""}"
65;2020-05-04 07:31:09.534216;2;TRUE;600;FALSE;;FALSE;;"{""response_id"": 94, ""propagate_failure"": false}";criticsm_trial;81;9;"{""vector"": [-252.41539855927016, 536.7631539107083, -250.6082728018747, -575.4033591883417, -576.6153063471376], ""active_index"": 2, ""reverse_scale"": false}"
66;2020-05-04 07:41:08.43947;3;TRUE;"""1""";FALSE;10;FALSE;;"{""response_id"": 275, ""propagate_failure"": false}";headphone_trial;11;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav"", ""label"": ""OSI"", ""correct_answer"": ""2""}"
